,subject,predicate,object,from,until,object_has_years,subject_has_years
20036,Francis Preston Blair Jr.,is affiliated to,Free Soil Party,1848-##-##,1854-##-##,False,False
20037,John M. Read,is affiliated to,Free Soil Party,1848-##-##,1854-##-##,False,False
20038,Charles Sumner,is affiliated to,Free Soil Party,1848-##-##,1854-##-##,False,False
20039,Lewis Bartholomew Woodruff,is affiliated to,Free Soil Party,1848-##-##,1854-##-##,False,False
20040,Francis Preston Blair,is affiliated to,Free Soil Party,1848-##-##,1854-##-##,False,False
20041,Sidney Edgerton,is affiliated to,Free Soil Party,1848-##-##,1856-##-##,False,False
20042,Ward Hunt,is affiliated to,Free Soil Party,1848-##-##,1854-##-##,False,False
20043,Rodney French,is affiliated to,Free Soil Party,1848-##-##,1854-##-##,False,False
20044,Lew Wallace,is affiliated to,Free Soil Party,1848-##-##,####-##-##,False,False
20045,Martin Van Buren,is affiliated to,Free Soil Party,1848-##-##,####-##-##,False,False
20046,Marlies Deneke,is affiliated to,Party of Democratic Socialism (Germany),1989-##-##,2002-##-##,False,False
20047,Petra Bläss,is affiliated to,Party of Democratic Socialism (Germany),1997-##-##,2005-##-##,False,False
20048,Katja Kipping,is affiliated to,Party of Democratic Socialism (Germany),1998-##-##,2007-##-##,False,False
20049,Lothar Bisky,is affiliated to,Party of Democratic Socialism (Germany),1989-##-##,2007-##-##,False,False
20050,Hiram Hunter,is affiliated to,Social Democratic Party (New Zealand),1913-##-##,####-##-##,False,False
20051,Charles Henry Chapman (politician),is affiliated to,Social Democratic Party (New Zealand),1913-##-##,####-##-##,False,False
20052,James McCombs,is affiliated to,Social Democratic Party (New Zealand),1913-##-##,1916-##-##,False,False
20053,John Read (New Zealand politician),is affiliated to,Social Democratic Party (New Zealand),1913-##-##,####-##-##,False,False
20054,Hiram Hunter,is affiliated to,New Zealand National Party,1938-##-##,####-##-##,False,False
20055,Sidney Holland,is affiliated to,New Zealand National Party,1938-##-##,1957-##-##,False,False
20056,Alfred Murdoch,is affiliated to,New Zealand National Party,1936-##-##,####-##-##,False,False
20057,George Forbes (New Zealand politician),is affiliated to,New Zealand National Party,1936-##-##,1947-##-##,False,False
20058,Nick Leggett,is affiliated to,New Zealand National Party,2016-##-##,####-##-##,False,False
20059,Hiram Hunter,is affiliated to,New Zealand Labour Party (1910),1910-##-##,####-##-##,True,False
20060,David McLaren (politician),is affiliated to,New Zealand Labour Party (1910),1910-##-##,####-##-##,True,False
20061,George Davis (New Zealand politician),is affiliated to,New Zealand Labour Party (1910),1910-##-##,####-##-##,True,False
20062,Elijah Carey,is affiliated to,New Zealand Labour Party (1910),1910-##-##,####-##-##,True,False
20063,Hiram Hunter,is affiliated to,New Zealand Labour Party,1916-##-##,####-##-##,False,False
20064,Frederick Cooke (socialist),is affiliated to,New Zealand Labour Party,1916-##-##,1930-##-##,False,False
20065,Charles Henry Chapman (politician),is affiliated to,New Zealand Labour Party,1916-##-##,####-##-##,False,False
20066,John A. Lee,is affiliated to,New Zealand Labour Party,1919-##-##,####-##-##,False,False
20067,James McCombs,is affiliated to,New Zealand Labour Party,1916-##-##,1933-##-##,False,False
20068,George Davis (New Zealand politician),is affiliated to,New Zealand Labour Party,1916-##-##,####-##-##,False,False
20069,John Read (New Zealand politician),is affiliated to,New Zealand Labour Party,1916-##-##,####-##-##,False,False
20070,Nick Leggett,is affiliated to,New Zealand Labour Party,1994-##-##,2016-##-##,False,False
20071,Yavor Notev,is affiliated to,Attack (political party),2005-##-##,####-##-##,False,False
20072,Vladimir Kuzov,is affiliated to,Attack (political party),2005-##-##,2006-##-##,False,False
20073,Valeri Simeonov,is affiliated to,Attack (political party),2005-##-##,2009-##-##,False,False
20074,Volen Siderov,is affiliated to,Attack (political party),2005-##-##,####-##-##,False,False
20075,Yavor Notev,is affiliated to,United Patriots,2016-##-##,####-##-##,False,False
20076,Valeri Simeonov,is affiliated to,United Patriots,2016-##-##,####-##-##,False,False
20077,Volen Siderov,is affiliated to,United Patriots,2016-##-##,####-##-##,False,False
20078,Jacques Chirac,is affiliated to,Union for a Popular Movement,2002-##-##,2015-##-##,False,False
20079,Bruno Le Maire,is affiliated to,Union for a Popular Movement,2015-##-##,####-##-##,False,False
20080,Thierry Breton,is affiliated to,Union for a Popular Movement,2002-##-##,####-##-##,False,False
20081,François Baroin,is affiliated to,Union for a Popular Movement,2002-##-##,2015-##-##,False,False
20082,Christine Lagarde,is affiliated to,Union for a Popular Movement,2015-##-##,####-##-##,False,False
20083,Laurent Wauquiez,is affiliated to,Union for a Popular Movement,2015-##-##,####-##-##,False,False
20084,Valéry Giscard d'Estaing,is affiliated to,Union for a Popular Movement,2002-##-##,2004-##-##,False,False
20085,Jacques Barrot,is affiliated to,Union for a Popular Movement,2002-##-##,2014-##-##,False,False
20086,Alain Juppé,is affiliated to,Union for a Popular Movement,2002-##-##,2015-##-##,False,False
20087,Philippe Douste-Blazy,is affiliated to,Union for a Popular Movement,2002-##-##,2015-##-##,False,False
20088,Jacques Chirac,is affiliated to,The Republicans (France),2015-##-##,####-##-##,False,False
20089,Bruno Le Maire,is affiliated to,The Republicans (France),2015-##-##,2017-##-##,False,False
20090,François Baroin,is affiliated to,The Republicans (France),2015-##-##,####-##-##,False,False
20091,Christine Lagarde,is affiliated to,The Republicans (France),2015-##-##,####-##-##,False,False
20092,Laurent Wauquiez,is affiliated to,The Republicans (France),2015-##-##,####-##-##,False,False
20093,Alain Juppé,is affiliated to,The Republicans (France),2015-##-##,####-##-##,False,False
20094,Philippe Douste-Blazy,is affiliated to,The Republicans (France),2015-##-##,####-##-##,False,False
20095,Jacques Chirac,is affiliated to,Rally for the Republic,1971-##-##,2002-##-##,False,False
20096,Thierry Breton,is affiliated to,Rally for the Republic,1981-##-##,2002-##-##,False,False
20097,François Baroin,is affiliated to,Rally for the Republic,2002-##-##,####-##-##,False,False
20098,Alain Juppé,is affiliated to,Rally for the Republic,2002-##-##,####-##-##,False,False
20099,Joseph Chamberlain,is affiliated to,Liberal Party (UK),1866-##-##,1886-##-##,False,False
20100,Peter Hain,is affiliated to,Liberal Party (UK),1977-##-##,####-##-##,False,False
20101,John O'Brien (Irish politician),is affiliated to,Liberal Party (UK),1841-##-##,####-##-##,False,False
20102,Cyril Smith,is affiliated to,Liberal Party (UK),1945-##-##,1951-##-##,False,False
20103,Andrew Jackson Hamilton,is affiliated to,Unionist Party (United States),1860-##-##,1866-##-##,False,False
20104,Alexander H. Stephens,is affiliated to,Unionist Party (United States),1851-##-##,####-##-##,False,False
20105,John J. Crittenden,is affiliated to,Unionist Party (United States),1861-##-##,1863-##-##,False,False
20106,Sam Houston,is affiliated to,Unionist Party (United States),1854-##-##,1860-##-##,False,False
20107,John M. Palmer (politician),is affiliated to,Liberal Republican Party (United States),1870-##-##,1872-##-##,False,False
20108,Bernard Connolly (New Jersey),is affiliated to,Liberal Republican Party (United States),1872-##-##,####-##-##,False,False
20109,Charles Sumner,is affiliated to,Liberal Republican Party (United States),1870-##-##,1872-##-##,False,False
20110,John McEnery (Louisiana),is affiliated to,Liberal Republican Party (United States),1870-##-##,1872-##-##,False,False
20111,David Davis (Supreme Court justice),is affiliated to,Liberal Republican Party (United States),1870-##-##,1872-##-##,False,False
20112,Cassius Marcellus Clay (politician),is affiliated to,Liberal Republican Party (United States),1870-##-##,####-##-##,False,False
20113,Eduardo Paes,is affiliated to,Brazilian Social Democracy Party,2003-##-##,2007-##-##,False,False
20114,Geraldo Alckmin,is affiliated to,Brazilian Social Democracy Party,1988-##-##,####-##-##,False,False
20115,Romero Jucá,is affiliated to,Brazilian Social Democracy Party,1995-##-##,2002-##-##,False,False
20116,Aloysio Nunes,is affiliated to,Brazilian Social Democracy Party,1997-##-##,####-##-##,False,False
20117,Antônio Primo,is affiliated to,Brazilian Social Democracy Party,1999-##-##,2003-##-##,False,False
20118,Carlos Brandão,is affiliated to,Brazilian Social Democracy Party,2005-##-##,####-##-##,False,False
20119,Eduardo Paes,is affiliated to,Democrats (Brazil),1995-##-##,1999-##-##,False,False
20120,Rodrigo Maia,is affiliated to,Democrats (Brazil),2007-##-##,####-##-##,False,False
20121,Kátia Abreu,is affiliated to,Democrats (Brazil),2007-##-##,2011-##-##,False,False
20122,Romeu Tuma,is affiliated to,Democrats (Brazil),2007-##-##,####-##-##,False,False
20123,Gilberto Kassab,is affiliated to,Democrats (Brazil),2007-##-##,2011-##-##,False,False
20124,Marco Maciel,is affiliated to,Democrats (Brazil),2007-##-##,####-##-##,False,False
20125,Ronaldo Caiado,is affiliated to,Democrats (Brazil),2007-##-##,####-##-##,False,False
20126,Cesar Maia,is affiliated to,Democrats (Brazil),1996-##-##,1999-##-##,False,False
20127,Paulo Souto,is affiliated to,Democrats (Brazil),2007-##-##,####-##-##,False,False
20128,Edison Lobão Filho,is affiliated to,Democrats (Brazil),2007-##-##,2008-##-##,False,False
20129,Rosalba Ciarlini,is affiliated to,Democrats (Brazil),2007-##-##,2016-##-##,False,False
20130,Eduardo Paes,is affiliated to,Brazilian Labour Party (current),1999-##-##,2001-##-##,False,False
20131,Jânio Quadros,is affiliated to,Brazilian Labour Party (current),1980-##-##,1986-##-##,False,False
20132,Jair Bolsonaro,is affiliated to,Brazilian Labour Party (current),2003-##-##,2005-##-##,False,False
20133,Romeu Tuma,is affiliated to,Brazilian Labour Party (current),2007-##-##,2010-##-##,False,False
20134,José Maria Marin,is affiliated to,Brazilian Labour Party (current),2007-##-##,####-##-##,False,False
20135,José Reinaldo Tavares,is affiliated to,Brazilian Labour Party (current),2004-##-##,2005-##-##,False,False
20136,Cesar Maia,is affiliated to,Brazilian Labour Party (current),1999-##-##,2004-##-##,False,False
20137,Paulo Pereira da Silva,is affiliated to,Brazilian Labour Party (current),1996-##-##,2003-##-##,False,False
20138,Eduardo Paes,is affiliated to,Brazilian Democratic Movement Party,2007-##-##,####-##-##,False,False
20139,Roberto Freire,is affiliated to,Brazilian Democratic Movement Party,1980-##-##,1985-##-##,False,False
20140,Kátia Abreu,is affiliated to,Brazilian Democratic Movement Party,2013-##-##,####-##-##,False,False
20141,Eunício Oliveira,is affiliated to,Brazilian Democratic Movement Party,1981-##-##,####-##-##,False,False
20142,José Sarney,is affiliated to,Brazilian Democratic Movement Party,1985-##-##,####-##-##,False,False
20143,Flávio Dino,is affiliated to,Brazilian Democratic Movement Party,1982-##-##,1987-##-##,False,False
20144,Renan Calheiros,is affiliated to,Brazilian Democratic Movement Party,1982-##-##,####-##-##,False,False
20145,Romero Jucá,is affiliated to,Brazilian Democratic Movement Party,1980-##-##,1990-##-##,False,False
20146,Aloysio Nunes,is affiliated to,Brazilian Democratic Movement Party,1980-##-##,1997-##-##,False,False
20147,Astro de Ogum,is affiliated to,Brazilian Democratic Movement Party,1986-##-##,1993-##-##,False,False
20148,José Reinaldo Tavares,is affiliated to,Brazilian Democratic Movement Party,1985-##-##,1990-##-##,False,False
20149,Henrique Eduardo Alves,is affiliated to,Brazilian Democratic Movement Party,1980-##-##,####-##-##,False,False
20150,Ulysses Guimarães,is affiliated to,Brazilian Democratic Movement Party,1979-##-##,1992-##-##,False,False
20151,Cesar Maia,is affiliated to,Brazilian Democratic Movement Party,1991-##-##,1996-##-##,False,False
20152,José Alencar,is affiliated to,Brazilian Democratic Movement Party,1993-##-##,2002-##-##,False,False
20153,Vital do Rêgo Filho,is affiliated to,Brazilian Democratic Movement Party,2006-##-##,2014-##-##,False,False
20154,Edison Lobão Filho,is affiliated to,Brazilian Democratic Movement Party,2008-##-##,####-##-##,False,False
20155,Ciro Gomes,is affiliated to,Brazilian Democratic Movement Party,1983-##-##,1988-##-##,False,False
20156,Antônio Primo,is affiliated to,Brazilian Democratic Movement Party,1980-##-##,1999-##-##,False,False
20157,Eduardo Paes,is affiliated to,Green Party (Brazil),1994-##-##,1995-##-##,False,False
20158,Marina Silva,is affiliated to,Green Party (Brazil),2009-##-##,2011-##-##,False,False
20159,Sarney Filho,is affiliated to,Green Party (Brazil),2005-##-##,####-##-##,False,False
20160,William Smith (South Carolina senator),is affiliated to,Democratic-Republican Party,1825-##-##,####-##-##,False,False
20161,John Bell (Tennessee politician),is affiliated to,Democratic-Republican Party,1817-##-##,1828-##-##,False,False
20162,Daniel Pope Cook,is affiliated to,Democratic-Republican Party,1826-##-##,####-##-##,False,False
20163,Henry Baldwin (judge),is affiliated to,Democratic-Republican Party,1825-##-##,####-##-##,False,False
20164,John Tyler,is affiliated to,Democratic-Republican Party,1811-##-##,1828-##-##,False,False
20165,James Madison,is affiliated to,Democratic-Republican Party,1791-##-##,####-##-##,False,False
20166,John McKinley,is affiliated to,Democratic-Republican Party,1825-##-##,####-##-##,False,False
20167,John Eaton (politician),is affiliated to,Democratic-Republican Party,1815-##-##,####-##-##,False,False
20168,John Canfield Spencer,is affiliated to,Democratic-Republican Party,1825-##-##,####-##-##,False,False
20169,John Quincy Adams,is affiliated to,Democratic-Republican Party,1808-##-##,1830-##-##,False,False
20170,Andrew Jackson,is affiliated to,Democratic-Republican Party,1828-##-##,####-##-##,False,False
20171,Philip Pendleton Barbour,is affiliated to,Democratic-Republican Party,1825-##-##,####-##-##,False,False
20172,Henry Clay,is affiliated to,Democratic-Republican Party,1803-##-##,1825-##-##,False,False
20173,Levi Woodbury,is affiliated to,Democratic-Republican Party,1825-##-##,####-##-##,False,False
20174,Nathan Sanford,is affiliated to,Democratic-Republican Party,1825-##-##,####-##-##,False,False
20175,John W. Taylor (politician),is affiliated to,Democratic-Republican Party,1825-##-##,####-##-##,False,False
20176,John C. Calhoun,is affiliated to,Democratic-Republican Party,1828-##-##,####-##-##,False,False
20177,William Henry Harrison,is affiliated to,Democratic-Republican Party,1799-##-##,1828-##-##,False,False
20178,John J. Crittenden,is affiliated to,Democratic-Republican Party,1825-##-##,####-##-##,False,False
20179,Joseph Ritner,is affiliated to,Democratic-Republican Party,1828-##-##,####-##-##,False,False
20180,Caleb Cushing,is affiliated to,Democratic-Republican Party,1825-##-##,####-##-##,False,False
20181,Sam Houston,is affiliated to,Democratic-Republican Party,1829-##-##,####-##-##,False,False
20182,Martin Van Buren,is affiliated to,Democratic-Republican Party,1799-##-##,1828-##-##,False,False
20183,Rodrigo Maia,is affiliated to,Liberal Front Party (Brazil),1996-##-##,2007-##-##,False,False
20184,Ricardo Barros (politician),is affiliated to,Liberal Front Party (Brazil),1988-##-##,1997-##-##,False,False
20185,Kátia Abreu,is affiliated to,Liberal Front Party (Brazil),1993-##-##,2007-##-##,False,False
20186,Sarney Filho,is affiliated to,Liberal Front Party (Brazil),1985-##-##,2005-##-##,False,False
20187,José Sarney,is affiliated to,Liberal Front Party (Brazil),1985-##-##,####-##-##,False,False
20188,Jair Bolsonaro,is affiliated to,Liberal Front Party (Brazil),2005-##-##,####-##-##,False,False
20189,José Maria Marin,is affiliated to,Liberal Front Party (Brazil),1985-##-##,2000-##-##,False,False
20190,Gilberto Kassab,is affiliated to,Liberal Front Party (Brazil),1995-##-##,2007-##-##,False,False
20191,Astro de Ogum,is affiliated to,Liberal Front Party (Brazil),1985-##-##,1986-##-##,False,False
20192,Marco Maciel,is affiliated to,Liberal Front Party (Brazil),1985-##-##,2007-##-##,False,False
20193,José Reinaldo Tavares,is affiliated to,Liberal Front Party (Brazil),1990-##-##,2004-##-##,False,False
20194,Ronaldo Caiado,is affiliated to,Liberal Front Party (Brazil),1991-##-##,2007-##-##,False,False
20195,Paulo Souto,is affiliated to,Liberal Front Party (Brazil),1986-##-##,2007-##-##,False,False
20196,Edison Lobão Filho,is affiliated to,Liberal Front Party (Brazil),1985-##-##,2008-##-##,False,False
20197,Rosalba Ciarlini,is affiliated to,Liberal Front Party (Brazil),1992-##-##,2007-##-##,False,False
20198,Carlos Brandão,is affiliated to,Liberal Front Party (Brazil),1985-##-##,####-##-##,False,False
20199,Zosimo Paredes,is affiliated to,Nacionalista Party,1987-##-##,####-##-##,False,False
20200,Ralph Recto,is affiliated to,Nacionalista Party,2003-##-##,2007-##-##,False,False
20201,Imelda Marcos,is affiliated to,Nacionalista Party,1965-##-##,1978-##-##,False,False
20202,Ernesto Maceda,is affiliated to,Nacionalista Party,1971-##-##,1987-##-##,False,False
20203,Zosimo Paredes,is affiliated to,Kilusang Bagong Lipunan,1984-##-##,1986-##-##,False,False
20204,Carmencita Reyes,is affiliated to,Kilusang Bagong Lipunan,1978-##-##,1986-##-##,False,False
20205,Francisco Tatad,is affiliated to,Kilusang Bagong Lipunan,1978-##-##,1987-##-##,False,False
20206,David Tilson,is affiliated to,Progressive Conservative Party of Ontario,1990-##-##,2002-##-##,False,False
20207,William George Beech,is affiliated to,Progressive Conservative Party of Ontario,1951-##-##,1955-##-##,False,False
20208,Gary Carr (politician),is affiliated to,Progressive Conservative Party of Ontario,1990-##-##,2003-##-##,False,False
20209,Bob Smith (American politician),is affiliated to,Constitution Party (United States),1999-##-##,####-##-##,False,False
20210,Howard Phillips (politician),is affiliated to,Constitution Party (United States),1991-##-##,2013-##-##,False,False
20211,Virgil Goode,is affiliated to,Constitution Party (United States),2010-##-##,2016-##-##,False,False
20212,Ezola Foster,is affiliated to,Constitution Party (United States),2002-##-##,####-##-##,False,False
20213,Sławomir Nowak,is affiliated to,Civic Platform,2001-##-##,####-##-##,False,False
20214,Donald Tusk,is affiliated to,Civic Platform,2001-##-##,####-##-##,False,False
20215,Maciej Grubski,is affiliated to,Civic Platform,2006-##-##,####-##-##,False,False
20216,Sławomir Nowak,is affiliated to,Freedom Union (Poland),1994-##-##,2001-##-##,False,False
20217,Donald Tusk,is affiliated to,Freedom Union (Poland),1994-##-##,2001-##-##,False,False
20218,Maciej Grubski,is affiliated to,Freedom Union (Poland),1994-##-##,####-##-##,False,False
20219,Roberto Freire,is affiliated to,Brazilian Democratic Movement,1965-##-##,1980-##-##,False,False
20220,Geraldo Alckmin,is affiliated to,Brazilian Democratic Movement,1972-##-##,####-##-##,False,False
20221,Eunício Oliveira,is affiliated to,Brazilian Democratic Movement,1972-##-##,1981-##-##,False,False
20222,Raul Jungmann,is affiliated to,Brazilian Democratic Movement,1972-##-##,1992-##-##,False,False
20223,Renan Calheiros,is affiliated to,Brazilian Democratic Movement,1979-##-##,1982-##-##,False,False
20224,Romero Jucá,is affiliated to,Brazilian Democratic Movement,1979-##-##,1980-##-##,False,False
20225,Aloysio Nunes,is affiliated to,Brazilian Democratic Movement,1974-##-##,1980-##-##,False,False
20226,Henrique Eduardo Alves,is affiliated to,Brazilian Democratic Movement,1970-##-##,1980-##-##,False,False
20227,Ulysses Guimarães,is affiliated to,Brazilian Democratic Movement,1965-##-##,1979-##-##,False,False
20228,Roberto Freire,is affiliated to,Popular Socialist Party (Brazil),1992-##-##,####-##-##,False,False
20229,Cristovam Buarque,is affiliated to,Popular Socialist Party (Brazil),2016-##-##,####-##-##,False,False
20230,Raul Jungmann,is affiliated to,Popular Socialist Party (Brazil),1992-##-##,####-##-##,False,False
20231,Astro de Ogum,is affiliated to,Popular Socialist Party (Brazil),2001-##-##,2007-##-##,False,False
20232,Roberto Freire,is affiliated to,Brazilian Communist Party,1985-##-##,1992-##-##,False,False
20233,Raul Jungmann,is affiliated to,Brazilian Communist Party,1992-##-##,####-##-##,False,False
20234,Luís Carlos Prestes,is affiliated to,Brazilian Communist Party,1934-##-##,1980-##-##,False,False
20235,Aloysio Nunes,is affiliated to,Brazilian Communist Party,1963-##-##,1974-##-##,False,False
20236,Cesar Maia,is affiliated to,Brazilian Communist Party,1974-##-##,1981-##-##,False,False
20237,Vladimir Putin,is affiliated to,Unity (Russian political party),1999-##-##,2001-##-##,False,False
20238,Denis Voronenkov,is affiliated to,Unity (Russian political party),2000-##-##,2003-##-##,False,False
20239,Sergey Shoygu,is affiliated to,Unity (Russian political party),1999-##-##,2001-##-##,False,False
20240,George Ganchev,is affiliated to,Union of Democratic Forces (Bulgaria),1989-##-##,1990-##-##,False,False
20241,Marin Raykov,is affiliated to,Union of Democratic Forces (Bulgaria),1989-##-##,2001-##-##,False,False
20242,Petar Moskov,is affiliated to,Union of Democratic Forces (Bulgaria),2004-##-##,####-##-##,False,False
20243,Solomon Passy,is affiliated to,Union of Democratic Forces (Bulgaria),1989-##-##,2001-##-##,False,False
20244,Petar Stoyanov,is affiliated to,Union of Democratic Forces (Bulgaria),1989-##-##,1997-##-##,False,False
20245,Valeri Simeonov,is affiliated to,Union of Democratic Forces (Bulgaria),2000-##-##,####-##-##,False,False
20246,Volen Siderov,is affiliated to,Union of Democratic Forces (Bulgaria),2000-##-##,####-##-##,False,False
20247,George Ganchev,is affiliated to,Bulgarian Communist Party,1989-##-##,####-##-##,False,False
20248,Marin Raykov,is affiliated to,Bulgarian Communist Party,1989-##-##,####-##-##,False,False
20249,"Georgi Pirinski, Jr.",is affiliated to,Bulgarian Communist Party,1989-##-##,####-##-##,False,False
20250,Solomon Passy,is affiliated to,Bulgarian Communist Party,1989-##-##,2017-02-##,False,False
20251,Zhan Videnov,is affiliated to,Bulgarian Communist Party,1990-##-##,####-##-##,False,False
20252,Aleksandar Tomov (politician),is affiliated to,Bulgarian Communist Party,1990-##-##,####-##-##,False,False
20253,Stanko Todorov,is affiliated to,Bulgarian Communist Party,1944-##-##,1990-##-##,False,False
20254,Petar Mladenov,is affiliated to,Bulgarian Communist Party,1963-##-##,1990-##-##,False,False
20255,Guinio Ganev,is affiliated to,Bulgarian Communist Party,1989-##-##,####-##-##,False,False
20256,Todor Zhivkov,is affiliated to,Bulgarian Communist Party,1932-##-##,1990-##-##,False,False
20257,Atanas Semerdzhiev,is affiliated to,Bulgarian Communist Party,1943-##-##,1990-##-##,False,False
20258,John Bell (Tennessee politician),is affiliated to,Constitutional Union Party (United States),1860-##-##,1861-##-##,False,False
20259,John Baker White (Virginia),is affiliated to,Constitutional Union Party (United States),1860-##-##,1861-##-##,False,False
20260,Howell Cobb,is affiliated to,Constitutional Union Party (United States),1851-##-##,1853-##-##,False,False
20261,Augustus Hill Garland,is affiliated to,Constitutional Union Party (United States),1859-##-##,1860-##-##,False,False
20262,Alexander H. Stephens,is affiliated to,Constitutional Union Party (United States),1860-##-##,####-##-##,False,False
20263,John J. Crittenden,is affiliated to,Constitutional Union Party (United States),1859-##-##,1861-##-##,False,False
20264,William Alexander Graham,is affiliated to,Constitutional Union Party (United States),1860-##-##,1861-##-##,False,False
20265,Sam Houston,is affiliated to,Constitutional Union Party (United States),1860-##-##,1861-##-##,False,False
20266,Robert Toombs,is affiliated to,Constitutional Union Party (United States),1851-##-##,1853-##-##,False,False
20267,John Bell (Tennessee politician),is affiliated to,Whig Party (United States),1835-##-##,1854-##-##,False,False
20268,Benjamin Robbins Curtis,is affiliated to,Whig Party (United States),1854-##-##,####-##-##,False,False
20269,Charles Sumner,is affiliated to,Whig Party (United States),1840-##-##,1848-##-##,False,False
20270,Lewis Bartholomew Woodruff,is affiliated to,Whig Party (United States),1833-##-##,1848-##-##,False,False
20271,John Tyler,is affiliated to,Whig Party (United States),1834-##-##,1841-##-##,False,False
20272,John Canfield Spencer,is affiliated to,Whig Party (United States),1825-##-##,1856-##-##,False,False
20273,Augustus Bradford,is affiliated to,Whig Party (United States),1845-##-##,1854-##-##,False,False
20274,John Quincy Adams,is affiliated to,Whig Party (United States),1838-##-##,1848-##-##,False,False
20275,Thaddeus Stevens,is affiliated to,Whig Party (United States),1838-##-##,1851-##-##,False,False
20276,William Woods Holden,is affiliated to,Whig Party (United States),1841-##-##,1843-##-##,False,False
20277,Augustus Hill Garland,is affiliated to,Whig Party (United States),1855-##-##,####-##-##,False,False
20278,Robert M. T. Hunter,is affiliated to,Whig Party (United States),1844-##-##,####-##-##,False,False
20279,Henry Clay,is affiliated to,Whig Party (United States),1833-##-##,1852-##-##,False,False
20280,Judah P. Benjamin,is affiliated to,Whig Party (United States),1856-##-##,####-##-##,False,False
20281,Alexander H. Stephens,is affiliated to,Whig Party (United States),1836-##-##,####-##-##,False,False
20282,William Henry Harrison,is affiliated to,Whig Party (United States),1836-##-##,1841-##-##,False,False
20283,John J. Crittenden,is affiliated to,Whig Party (United States),1830-##-##,1856-##-##,False,False
20284,David Davis (Supreme Court justice),is affiliated to,Whig Party (United States),1854-##-##,####-##-##,False,False
20285,Joseph Ritner,is affiliated to,Whig Party (United States),1839-##-##,1854-##-##,False,False
20286,William Alexander Graham,is affiliated to,Whig Party (United States),1860-##-##,####-##-##,False,False
20287,Rodney French,is affiliated to,Whig Party (United States),1848-##-##,####-##-##,False,False
20288,Caleb Cushing,is affiliated to,Whig Party (United States),1833-##-##,1847-##-##,False,False
20289,Lew Wallace,is affiliated to,Whig Party (United States),1847-##-##,####-##-##,False,False
20290,Robert Toombs,is affiliated to,Whig Party (United States),1851-##-##,####-##-##,False,False
20291,Richard Tsoi,is affiliated to,The Frontier (Hong Kong),2008-##-##,####-##-##,False,False
20292,Fung Chi-wood,is affiliated to,The Frontier (Hong Kong),2002-##-##,####-##-##,False,False
20293,Emily Lau,is affiliated to,The Frontier (Hong Kong),1996-##-##,2008-##-##,False,False
20294,Andrew To,is affiliated to,The Frontier (Hong Kong),2002-##-##,####-##-##,False,False
20295,Richard Tsoi,is affiliated to,Democratic Party (Hong Kong),2008-##-##,####-##-##,False,False
20296,Zachary Wong,is affiliated to,Democratic Party (Hong Kong),1994-##-##,####-##-##,False,False
20297,Fung Chi-wood,is affiliated to,Democratic Party (Hong Kong),1994-##-##,2001-##-##,False,False
20298,Cheung Yin-tung,is affiliated to,Democratic Party (Hong Kong),1994-##-##,####-##-##,False,False
20299,Emily Lau,is affiliated to,Democratic Party (Hong Kong),2008-##-##,####-##-##,False,False
20300,Huang Chen-ya,is affiliated to,Democratic Party (Hong Kong),1994-##-##,####-##-##,False,False
20301,Yeung Sum,is affiliated to,Democratic Party (Hong Kong),1994-##-##,####-##-##,False,False
20302,Michael Ho (politician),is affiliated to,Democratic Party (Hong Kong),1994-##-##,####-##-##,False,False
20303,Wong Sing-chi,is affiliated to,Democratic Party (Hong Kong),1994-##-##,2015-##-##,False,False
20304,Man Sai-cheong,is affiliated to,Democratic Party (Hong Kong),1994-##-##,####-##-##,False,False
20305,Andrew To,is affiliated to,Democratic Party (Hong Kong),1994-##-##,2002-##-##,False,False
20306,John M. Read,is affiliated to,Federalist Party,1824-##-##,####-##-##,False,False
20307,Oliver Wolcott Jr.,is affiliated to,Federalist Party,1816-##-##,####-##-##,False,False
20308,Edward King (jurist),is affiliated to,Federalist Party,1824-##-##,####-##-##,False,False
20309,Roger B. Taney,is affiliated to,Federalist Party,1828-##-##,####-##-##,False,False
20310,John Quincy Adams,is affiliated to,Federalist Party,1792-##-##,1808-##-##,False,False
20311,Ricardo Barros (politician),is affiliated to,Progressive Party (Brazil),1997-##-##,2003-##-##,False,False
20312,Jair Bolsonaro,is affiliated to,Progressive Party (Brazil),1995-##-##,2003-##-##,False,False
20313,Rosalba Ciarlini,is affiliated to,Progressive Party (Brazil),2016-##-##,####-##-##,False,False
20314,Edward Kellett (New Zealand politician),is affiliated to,United Labour Party (New Zealand),1912-##-##,1916-##-##,False,False
20315,David McLaren (politician),is affiliated to,United Labour Party (New Zealand),1912-##-##,####-##-##,False,False
20316,George Davis (New Zealand politician),is affiliated to,United Labour Party (New Zealand),1912-##-##,####-##-##,False,False
20317,Elijah Carey,is affiliated to,United Labour Party (New Zealand),1912-##-##,####-##-##,False,False
20318,Roh Hoe-chan,is affiliated to,New Progressive Party (South Korea),2008-##-##,2011-##-##,False,False
20319,Lee Yong-gill,is affiliated to,New Progressive Party (South Korea),2008-##-##,2013-##-##,False,False
20320,Na Gyung-che,is affiliated to,New Progressive Party (South Korea),2008-##-##,2013-##-##,False,False
20321,Roh Hoe-chan,is affiliated to,Democratic Labor Party (South Korea),2000-##-##,2008-##-##,False,False
